ID	Species	Site	State	SpecificRegion	GeneralRegion	S_W_N	Year	Season	Sex	Eggs	suffix	old_ID	16S_Filtered	Isotope_data	Isotopes	MigratoryStatus
AO_F21_APFL_1	Allograpta obliqua	Apopka_FL	FL	FL	Southeast	South	2021	Fall	FM	no	ilt.fastq.gz	AO_F21_APFL_1_1.filt.fastq.gz	Yes	Yes	-75.02916	No
AO_F21_APFL_2	Allograpta obliqua	Apopka_FL	FL	FL	Southeast	South	2021	Fall	M	no	ilt.fastq.gz	AO_F21_APFL_2_1.filt.fastq.gz	No	Yes	-83.04906	No
AO_F21_APFL_4	Allograpta obliqua	Apopka_FL	FL	FL	Southeast	South	2021	Fall	M	no	ilt.fastq.gz	AO_F21_APFL_4_1.filt.fastq.gz	No	Yes	-80.31612	No
AO_F21_APFL_5	Allograpta obliqua	Apopka_FL	FL	FL	Southeast	South	2021	Fall	FM	yes	ilt.fastq.gz	AO_F21_APFL_5_1.filt.fastq.gz	No	Yes	-88.60692	No
AO_F21_AT2AL_1	Allograpta obliqua	Athens_AL 2	AL	WestApps	Southeast	South	2021	Fall	FM	no	ilt.fastq.gz	AO_F21_AT2AL_1_1.filt.fastq.gz	No	No	None	Unknown
AO_F21_AT2AL_2	Allograpta obliqua	Athens_AL 2	AL	WestApps	Southeast	South	2021	Fall	M	no	ilt.fastq.gz	AO_F21_AT2AL_2_1.filt.fastq.gz	No	No	None	Unknown
AO_F21_ATAL_1	Allograpta obliqua	Athens_AL 1	AL	WestApps	Southeast	South	2021	Fall	FM	some	ilt.fastq.gz	AO_F21_ATAL_1_1.filt.fastq.gz	No	Yes	-98.51934	No
AO_F21_ATAL_2	Allograpta obliqua	Athens_AL 1	AL	WestApps	Southeast	South	2021	Fall	FM	no	ilt.fastq.gz	AO_F21_ATAL_2_1.filt.fastq.gz	No	Yes	-103.99908	Maybe
AO_F21_ATGA_1	Allograpta obliqua	Athens_GA	GA	EastApps	Southeast	South	2021	Fall	FM	yes	ilt.fastq.gz	AO_F21_ATGA_1_1.filt.fastq.gz	No	Yes	-77.87364	No
AO_F21_ATGA_2	Allograpta obliqua	Athens_GA	GA	EastApps	Southeast	South	2021	Fall	FM	no	ilt.fastq.gz	AO_F21_ATGA_2_1.filt.fastq.gz	No	Yes	-96.82756	No
AO_F21_ATGA_4	Allograpta obliqua	Athens_GA	GA	EastApps	Southeast	South	2021	Fall	FM	yes	ilt.fastq.gz	AO_F21_ATGA_4_1.filt.fastq.gz	No	Yes	-95.488	No
AO_F21_ATGA_6	Allograpta obliqua	Athens_GA	GA	EastApps	Southeast	South	2021	Fall	M	no	ilt.fastq.gz	AO_F21_ATGA_6_1.filt.fastq.gz	Yes	Yes	-82.80488	No
AO_F21_AUAL_4	Allograpta obliqua	Auburn_AL	AL	WestApps	Southeast	South	2021	Fall	FM	no	ilt.fastq.gz	AO_F21_AUAL_4_1.filt.fastq.gz	No	Yes	-97.10814	No
AO_F21_AUAL_8	Allograpta obliqua	Auburn_AL	AL	WestApps	Southeast	South	2021	Fall	M	no	ilt.fastq.gz	AO_F21_AUAL_8_1.filt.fastq.gz	No	No	None	Unknown
AO_F21_AUAL_9	Allograpta obliqua	Auburn_AL	AL	WestApps	Southeast	South	2021	Fall	M	no	ilt.fastq.gz	AO_F21_AUAL_9_1.filt.fastq.gz	No	No	None	Unknown
AO_F21_CIFL_1	Allograpta obliqua	Citra_FL	FL	FL	Southeast	South	2021	Fall	FM	yes	ilt.fastq.gz	AO_F21_CIFL_1_1.filt.fastq.gz	No	Yes	-74.38278	No
AO_F21_CIFL_4	Allograpta obliqua	Citra_FL	FL	FL	Southeast	South	2021	Fall	FM	no	ilt.fastq.gz	AO_F21_CIFL_4_1.filt.fastq.gz	No	Yes	-86.89066	No
AO_F21_CIFL_9	Allograpta obliqua	Citra_FL	FL	FL	Southeast	South	2021	Fall	M	no	ilt.fastq.gz	AO_F21_CIFL_9_1.filt.fastq.gz	No	Yes	-76.28764	No
AO_F21_DVAR_1	Allograpta obliqua	DeValls_Bluff_AR	AR	WestApps	Southeast	South	2021	Fall	FM	yes	ilt.fastq.gz	AO_F21_DVAR_1_1.filt.fastq.gz	No	Yes	-111.15336	Yes
AO_F21_GRMS_1	Allograpta obliqua	Greenville_MS	MS	WestApps	Southeast	South	2021	Fall	M	no	ilt.fastq.gz	AO_F21_GRMS_1_1.filt.fastq.gz	Yes	No	None	Unknown
AO_F21_GUON_1	Allograpta obliqua	Guelph_ONT	ONT	EastCAN	Midwest	North	2021	Fall	FM	yes	ilt.fastq.gz	AO_F21_GUON_1_1.filt.fastq.gz	No	No	None	Unknown
AO_F21_GUON_2	Allograpta obliqua	Guelph_ONT	ONT	EastCAN	Midwest	North	2021	Fall	FM	yes	ilt.fastq.gz	AO_F21_GUON_2_1.filt.fastq.gz	No	No	None	Unknown
AO_F21_GUON_3	Allograpta obliqua	Guelph_ONT	ONT	EastCAN	Midwest	North	2021	Fall	FM	no	ilt.fastq.gz	AO_F21_GUON_3_1.filt.fastq.gz	Yes	No	None	Unknown
AO_F21_PDSC_1	Allograpta obliqua	Pee_Dee_SC	SC	EastApps	Southeast	South	2021	Fall	FM	yes	ilt.fastq.gz	AO_F21_PDSC_1_1.filt.fastq.gz	No	Yes	-99.35924	No
AO_F21_PDSC_2	Allograpta obliqua	Pee_Dee_SC	SC	EastApps	Southeast	South	2021	Fall	FM	yes	ilt.fastq.gz	AO_F21_PDSC_2_1.filt.fastq.gz	No	Yes	-93.29812	No
AO_F21_PRON_1	Allograpta obliqua	Port_Rowan_ONT	ONT	EastCAN	Midwest	North	2021	Fall	M	no	ilt.fastq.gz	AO_F21_PRON_1_1.filt.fastq.gz	Yes	No	None	Unknown
AO_F21_PRON_2	Allograpta obliqua	Port_Rowan_ONT	ONT	EastCAN	Midwest	North	2021	Fall	M	no	ilt.fastq.gz	AO_F21_PRON_2_1.filt.fastq.gz	No	No	None	Unknown
AO_F21_PRON_3	Allograpta obliqua	Port_Rowan_ONT	ONT	EastCAN	Midwest	North	2021	Fall	FM	no	ilt.fastq.gz	AO_F21_PRON_3_1.filt.fastq.gz	Yes	No	None	Unknown
AO_F21_QUFL_1	Allograpta obliqua	Quincy_FL	FL	FL	Southeast	South	2021	Fall	FM	yes	ilt.fastq.gz	AO_F21_QUFL_1_1.filt.fastq.gz	No	Yes	-77.01354	No
AO_F21_QUFL_3	Allograpta obliqua	Quincy_FL	FL	FL	Southeast	South	2021	Fall	FM	yes	ilt.fastq.gz	AO_F21_QUFL_3_1.filt.fastq.gz	No	Yes	-88.82192	No
AO_F21_QUFL_9	Allograpta obliqua	Quincy_FL	FL	FL	Southeast	South	2021	Fall	M	no	ilt.fastq.gz	AO_F21_QUFL_9_1.filt.fastq.gz	No	Yes	-73.22056	No
AO_F21_SHFL_1	Allograpta obliqua	Shalimar_FL	FL	FL	Southeast	South	2021	Fall	M	no	ilt.fastq.gz	AO_F21_SHFL_1_1.filt.fastq.gz	No	Yes	-79.25956	No
AO_F21_SHFL_2	Allograpta obliqua	Shalimar_FL	FL	FL	Southeast	South	2021	Fall	M	no	ilt.fastq.gz	AO_F21_SHFL_2_1.filt.fastq.gz	No	Yes	-71.5943	No
AO_F21_SHFL_3	Allograpta obliqua	Shalimar_FL	FL	FL	Southeast	South	2021	Fall	FM	no	ilt.fastq.gz	AO_F21_SHFL_3_1.filt.fastq.gz	No	Yes	-90.66412	No
AO_F21_SLKY_2	Allograpta obliqua	Salt Lick_KY	KY	WestApps	Southeast	North	2021	Fall	M	no	ilt.fastq.gz	AO_F21_SLKY_2_1.filt.fastq.gz	No	Yes	-103.60624	No
AO_F21_SLKY_3	Allograpta obliqua	Salt Lick_KY	KY	WestApps	Southeast	North	2021	Fall	M	no	ilt.fastq.gz	AO_F21_SLKY_3_1.filt.fastq.gz	Yes	Yes	-98.03616	No
AO_F21_SLKY_4	Allograpta obliqua	Salt Lick_KY	KY	WestApps	Southeast	North	2021	Fall	FM	no	ilt.fastq.gz	AO_F21_SLKY_4_1.filt.fastq.gz	No	Yes	-104.95784	No
AO_F21_STMS_4	Allograpta obliqua	Stoneville_MS	MS	WestApps	Southeast	South	2021	Fall	FM	no	ilt.fastq.gz	AO_F21_STMS_4_1.filt.fastq.gz	No	Yes	-86.31072	No
AO_F21_STMS_6	Allograpta obliqua	Stoneville_MS	MS	WestApps	Southeast	South	2021	Fall	FM	yes	ilt.fastq.gz	AO_F21_STMS_6_1.filt.fastq.gz	No	No	None	Unknown
AO_F21_STMS_7	Allograpta obliqua	Stoneville_MS	MS	WestApps	Southeast	South	2021	Fall	M	no	ilt.fastq.gz	AO_F21_STMS_7_1.filt.fastq.gz	No	No	None	Unknown
AO_F21_STMS_8	Allograpta obliqua	Stoneville_MS	MS	WestApps	Southeast	South	2021	Fall	M	no	ilt.fastq.gz	AO_F21_STMS_8_1.filt.fastq.gz	No	No	None	Unknown
AO_F21_SUVA_5	Allograpta obliqua	Suffolk_VA	VA	EastApps	Northeast	North	2021	Fall	M	no	ilt.fastq.gz	AO_F21_SUVA_5_1.filt.fastq.gz	Yes	Yes	-94.49844	No
AO_F21_SUVA_6	Allograpta obliqua	Suffolk_VA	VA	EastApps	Northeast	North	2021	Fall	FM	no	ilt.fastq.gz	AO_F21_SUVA_6_1.filt.fastq.gz	No	Yes	-108.82788	No
AO_F21_SUVA_7	Allograpta obliqua	Suffolk_VA	VA	EastApps	Northeast	North	2021	Fall	FM	yes	ilt.fastq.gz	AO_F21_SUVA_7_1.filt.fastq.gz	No	Yes	-107.30764	No
AO_F21_TIGA_1	Allograpta obliqua	Tifton_GA	GA	EastApps	Southeast	South	2021	Fall	FM	no	ilt.fastq.gz	AO_F21_TIGA_1_1.filt.fastq.gz	Yes	Yes	-79.31568	No
AO_F21_TIGA_4	Allograpta obliqua	Tifton_GA	GA	EastApps	Southeast	South	2021	Fall	M	no	ilt.fastq.gz	AO_F21_TIGA_4_1.filt.fastq.gz	No	Yes	-55.106	No
AO_F21_TIGA_9	Allograpta obliqua	Tifton_GA	GA	EastApps	Southeast	South	2021	Fall	FM	yes	ilt.fastq.gz	AO_F21_TIGA_9_1.filt.fastq.gz	No	Yes	-74.809	No
AO_F21_TYGA_1	Allograpta obliqua	Tyty_GA	GA	EastApps	Southeast	South	2021	Fall	FM	yes	ilt.fastq.gz	AO_F21_TYGA_1_1.filt.fastq.gz	No	No	None	Unknown
AO_F21_TYGA_2	Allograpta obliqua	Tyty_GA	GA	EastApps	Southeast	South	2021	Fall	FM	yes	ilt.fastq.gz	AO_F21_TYGA_2_1.filt.fastq.gz	No	No	None	Unknown
AO_F21_URIL_1	Allograpta obliqua	Urbana_IL	IL	Midwest	Midwest	North	2021	Fall	FM	no	ilt.fastq.gz	AO_F21_URIL_1_1.filt.fastq.gz	Yes	Yes	-107.12924	No
AO_F21_URIL_3	Allograpta obliqua	Urbana_IL	IL	Midwest	Midwest	North	2021	Fall	M	no	ilt.fastq.gz	AO_F21_URIL_3_1.filt.fastq.gz	Yes	Yes	-153.81498	Yes
AO_F21_URIL_4	Allograpta obliqua	Urbana_IL	IL	Midwest	Midwest	North	2021	Fall	FM	no	ilt.fastq.gz	AO_F21_URIL_4_1.filt.fastq.gz	No	Yes	-86.2264	No
AO_F22_ARTX_1	Allograpta obliqua	Arlington_TX	TX	TX	TX	South	2022	Fall	M	no	ilt.fastq.gz	AO_F22_ARTX_1_1.filt.fastq.gz	Yes	Yes	-79.32954	No
AO_F22_ARTX_2	Allograpta obliqua	Arlington_TX	TX	TX	TX	South	2022	Fall	M	no	ilt.fastq.gz	AO_F22_ARTX_2_1.filt.fastq.gz	No	Yes	-81.79032	No
AO_F22_ARTX_3	Allograpta obliqua	Arlington_TX	TX	TX	TX	South	2022	Fall	FM	no	ilt.fastq.gz	AO_F22_ARTX_3_1.filt.fastq.gz	No	Yes	-48.6372	No
AO_F22_ATAL_6	Allograpta obliqua	Athens_AL	AL	WestApps	Southeast	South	2022	Fall	FM	yes	ilt.fastq.gz	AO_F22_ATAL_6_1.filt.fastq.gz	No	No	None	Unknown
AO_F22_ATAL_7	Allograpta obliqua	Athens_AL	AL	WestApps	Southeast	South	2022	Fall	FM	no	ilt.fastq.gz	AO_F22_ATAL_7_1.filt.fastq.gz	No	No	None	Unknown
AO_F22_BRSD_1	Allograpta obliqua	Brookings_SD	SD	Midwest	Midwest	North	2022	Fall	M	no	ilt.fastq.gz	AO_F22_BRSD_1_1.filt.fastq.gz	No	No	None	Unknown
AO_F22_BRSD_2	Allograpta obliqua	Brookings_SD	SD	Midwest	Midwest	North	2022	Fall	M	no	ilt.fastq.gz	AO_F22_BRSD_2_1.filt.fastq.gz	Yes	No	None	Unknown
AO_F22_BRSD_3	Allograpta obliqua	Brookings_SD	SD	Midwest	Midwest	North	2022	Fall	FM	yes	ilt.fastq.gz	AO_F22_BRSD_3_1.filt.fastq.gz	No	No	None	Unknown
AO_F22_BRSD_4	Allograpta obliqua	Brookings_SD	SD	Midwest	Midwest	North	2022	Fall	FM	yes	ilt.fastq.gz	AO_F22_BRSD_4_1.filt.fastq.gz	Yes	No	None	Unknown
AO_F22_CECA_1	Allograpta obliqua	Camp_Eaton_CA	CA	FarWest	Southwest	West	2022	Fall	M	no	ilt.fastq.gz	AO_F22_CECA_1_1.filt.fastq.gz	No	No	None	Unknown
AO_F22_CECA_2	Allograpta obliqua	Camp_Eaton_CA	CA	FarWest	Southwest	West	2022	Fall	M	no	ilt.fastq.gz	AO_F22_CECA_2_1.filt.fastq.gz	No	No	None	Unknown
AO_F22_CECA_3	Allograpta obliqua	Camp_Eaton_CA	CA	FarWest	Southwest	West	2022	Fall	M	no	ilt.fastq.gz	AO_F22_CECA_3_1.filt.fastq.gz	No	No	None	Unknown
AO_F22_CECA_4	Allograpta obliqua	Camp_Eaton_CA	CA	FarWest	Southwest	West	2022	Fall	M	no	ilt.fastq.gz	AO_F22_CECA_4_1.filt.fastq.gz	No	No	None	Unknown
AO_F22_DEMD_1	Allograpta obliqua	Derwood_MD	MD	EastApps	Northeast	North	2022	Fall	FM	no	ilt.fastq.gz	AO_F22_DEMD_1_1.filt.fastq.gz	No	Yes	-71.82504	No
AO_F22_EPTX_1	Allograpta obliqua	El_Paso_TX	TX	FarWest	Southwest	West	2022	Fall	M	no	ilt.fastq.gz	AO_F22_EPTX_1_1.filt.fastq.gz	No	Yes	-109.62498	Maybe
AO_F22_EPTX_2	Allograpta obliqua	El_Paso_TX	TX	FarWest	Southwest	West	2022	Fall	M	no	ilt.fastq.gz	AO_F22_EPTX_2_1.filt.fastq.gz	No	Yes	-86.6577	No
AO_F22_EPTX_3	Allograpta obliqua	El_Paso_TX	TX	FarWest	Southwest	West	2022	Fall	M	no	ilt.fastq.gz	AO_F22_EPTX_3_1.filt.fastq.gz	No	Yes	-87.798	No
AO_F22_EPTX_4	Allograpta obliqua	El_Paso_TX	TX	FarWest	Southwest	West	2022	Fall	M	no	ilt.fastq.gz	AO_F22_EPTX_4_1.filt.fastq.gz	Yes	Yes	no enough	Unknown
AO_F22_FWTX_1	Allograpta obliqua	Fort_Worth_TX	TX	TX	TX	South	2022	Fall	FM	no	ilt.fastq.gz	AO_F22_FWTX_1_1.filt.fastq.gz	No	Yes	no enough	Unknown
AO_F22_FWTX_2	Allograpta obliqua	Fort_Worth_TX	TX	TX	TX	South	2022	Fall	M	no	ilt.fastq.gz	AO_F22_FWTX_2_1.filt.fastq.gz	No	Yes	dropped	Unknown
AO_F22_FWTX_3	Allograpta obliqua	Fort_Worth_TX	TX	TX	TX	South	2022	Fall	FM	no	ilt.fastq.gz	AO_F22_FWTX_3_1.filt.fastq.gz	Yes	Yes	-72.49404	No
AO_F22_METN_1	Allograpta obliqua	Memphis_TN	TN	WestApps	Southeast	South	2022	Fall	M	no	ilt.fastq.gz	AO_F22_METN_1_1.filt.fastq.gz	No	Yes	-71.94408	No
AO_F22_METN_2	Allograpta obliqua	Memphis_TN	TN	WestApps	Southeast	South	2022	Fall	M	no	ilt.fastq.gz	AO_F22_METN_2_1.filt.fastq.gz	Yes	Yes	-73.7334	No
AO_F22_METN_3	Allograpta obliqua	Memphis_TN	TN	WestApps	Southeast	South	2022	Fall	M	no	ilt.fastq.gz	AO_F22_METN_3_1.filt.fastq.gz	No	Yes	no enough	Unknown
AO_F22_STMS_1	Allograpta obliqua	Stoneville_MS	MS	WestApps	Southeast	South	2022	Fall	FM	no	ilt.fastq.gz	AO_F22_STMS_1_1.filt.fastq.gz	No	Yes	-77.6394	No
AO_F22_STMS_2	Allograpta obliqua	Stoneville_MS	MS	WestApps	Southeast	South	2022	Fall	M	no	ilt.fastq.gz	AO_F22_STMS_2_1.filt.fastq.gz	Yes	Yes	-60.71588	No
AO_F22_STMS_3	Allograpta obliqua	Stoneville_MS	MS	WestApps	Southeast	South	2022	Fall	FM	no	ilt.fastq.gz	AO_F22_STMS_3_1.filt.fastq.gz	Yes	Yes	-63.67204	No
AO_S22_ATAL_1	Allograpta obliqua	Athens_AL	AL	WestApps	Southeast	South	2022	Spring	FM	yes	ilt.fastq.gz	AO_S22_ATAL_1_1.filt.fastq.gz	Yes	No	None	Unknown
AO_S22_ATAL_2	Allograpta obliqua	Athens_AL	AL	WestApps	Southeast	South	2022	Spring	FM	yes	ilt.fastq.gz	AO_S22_ATAL_2_1.filt.fastq.gz	Yes	No	None	Unknown
AO_S22_ATAL_3	Allograpta obliqua	Athens_AL	AL	WestApps	Southeast	South	2022	Spring	FM	yes	ilt.fastq.gz	AO_S22_ATAL_3_1.filt.fastq.gz	No	No	None	Unknown
AO_S22_ATGA_1	Allograpta obliqua	Athens_GA	GA	EastApps	Southeast	South	2022	Spring	FM	no	ilt.fastq.gz	AO_S22_ATGA_1_1.filt.fastq.gz	No	No	None	Unknown
AO_S22_ATGA_2	Allograpta obliqua	Athens_GA	GA	EastApps	Southeast	South	2022	Spring	M	no	ilt.fastq.gz	AO_S22_ATGA_2_1.filt.fastq.gz	Yes	No	None	Unknown
AO_S22_ATGA_3	Allograpta obliqua	Athens_GA	GA	EastApps	Southeast	South	2022	Spring	FM	no	ilt.fastq.gz	AO_S22_ATGA_3_1.filt.fastq.gz	No	No	None	Unknown
AO_S22_CIFL_1	Allograpta obliqua	Citra_FL	FL	FL	Southeast	South	2022	Spring	M	no	ilt.fastq.gz	AO_S22_CIFL_1_1.filt.fastq.gz	No	No	None	Unknown
AO_S22_CIFL_2	Allograpta obliqua	Citra_FL	FL	FL	Southeast	South	2022	Spring	M	no	ilt.fastq.gz	AO_S22_CIFL_2_1.filt.fastq.gz	No	No	None	Unknown
AO_S22_CIFL_3	Allograpta obliqua	Citra_FL	FL	FL	Southeast	South	2022	Spring	M	no	ilt.fastq.gz	AO_S22_CIFL_3_1.filt.fastq.gz	Yes	No	None	Unknown
AO_S22_QUFL_1	Allograpta obliqua	Quincy_FL	FL	FL	Southeast	South	2022	Spring	FM	yes	ilt.fastq.gz	AO_S22_QUFL_1_1.filt.fastq.gz	No	No	None	Unknown
AO_S22_QUFL_2	Allograpta obliqua	Quincy_FL	FL	FL	Southeast	South	2022	Spring	FM	yes	ilt.fastq.gz	AO_S22_QUFL_2_1.filt.fastq.gz	Yes	No	None	Unknown
AO_S22_QUFL_3	Allograpta obliqua	Quincy_FL	FL	FL	Southeast	South	2022	Spring	FM	yes	ilt.fastq.gz	AO_S22_QUFL_3_1.filt.fastq.gz	No	No	None	Unknown
AO_S22_TAAL_1	Allograpta obliqua	Tallassee_AL	AL	WestApps	Southeast	South	2022	Spring	FM	yes	ilt.fastq.gz	AO_S22_TAAL_1_1.filt.fastq.gz	No	No	None	Unknown
AO_S22_TAAL_2	Allograpta obliqua	Tallassee_AL	AL	WestApps	Southeast	South	2022	Spring	FM	yes	ilt.fastq.gz	AO_S22_TAAL_2_1.filt.fastq.gz	No	No	None	Unknown
